<n>th Data : <REAL>|<RESULT>
 6304 th Data >> 8|8
 9029 th Data >> 6|6
 1328 th Data >> 7|7
 3230 th Data >> 1|1
 9810 th Data >> 1|1
 7656 th Data >> 3|3
 8346 th Data >> 3|3
  627 th Data >> 9|9
  950 th Data >> 7|7
 5764 th Data >> 3|3
 4731 th Data >> 8|7
 1548 th Data >> 1|1
 9611 th Data >> 0|0
 9905 th Data >> 3|9
 7171 th Data >> 1|1
 4380 th Data >> 8|8
 7262 th Data >> 1|1
 3709 th Data >> 9|9
 2760 th Data >> 9|9
 3229 th Data >> 2|2
 2464 th Data >> 4|4
 4741 th Data >> 0|0
 5781 th Data >> 9|9
 2354 th Data >> 2|2
 8558 th Data >> 0|0
 2922 th Data >> 5|5
 6611 th Data >> 5|5
 8021 th Data >> 0|0
 8957 th Data >> 3|3
  929 th Data >> 1|1
 5188 th Data >> 8|8
 3435 th Data >> 2|2
 9486 th Data >> 7|7
 3195 th Data >> 2|2
 3616 th Data >> 7|7
 7627 th Data >> 2|2
 7620 th Data >> 3|3
 2794 th Data >> 0|0
 2696 th Data >> 9|9
 3263 th Data >> 8|8
 7209 th Data >> 6|6
 7989 th Data >> 0|0
 8594 th Data >> 2|2
 7341 th Data >> 4|4
 1631 th Data >> 9|9
 6114 th Data >> 0|0
 1958 th Data >> 4|4
 2303 th Data >> 3|3
 6017 th Data >> 7|7
 1393 th Data >> 5|5
 5478 th Data >> 8|8
 7527 th Data >> 1|1
 2181 th Data >> 9|9
 1177 th Data >> 2|2
 7235 th Data >> 2|2
 1114 th Data >> 3|3
 6703 th Data >> 2|2
  554 th Data >> 7|7
 2259 th Data >> 9|9
 6448 th Data >> 4|4
 4380 th Data >> 8|8
 4766 th Data >> 5|5
 3404 th Data >> 9|9
 3888 th Data >> 9|9
 1982 th Data >> 6|6
 6251 th Data >> 4|4
 6240 th Data >> 2|2
 2373 th Data >> 4|4
 9026 th Data >> 9|9
 1655 th Data >> 9|9
 6643 th Data >> 0|0
  666 th Data >> 7|7
 4344 th Data >> 9|2
 2525 th Data >> 5|5
 6546 th Data >> 0|0
  466 th Data >> 8|8
 5121 th Data >> 7|7
  683 th Data >> 3|3
 9054 th Data >> 9|9
 7550 th Data >> 4|4
 1041 th Data >> 5|5
 2121 th Data >> 8|8
 5081 th Data >> 1|1
 4169 th Data >> 1|1
 3730 th Data >> 7|7
 3331 th Data >> 6|6
 6745 th Data >> 3|3
  760 th Data >> 4|9
  580 th Data >> 8|8
 8040 th Data >> 6|6
 7486 th Data >> 2|2
 3346 th Data >> 0|0
 1042 th Data >> 3|3
 1284 th Data >> 3|3
 9251 th Data >> 6|6
 7775 th Data >> 4|4
 6068 th Data >> 6|6
 4134 th Data >> 9|9
 9899 th Data >> 7|7
 1856 th Data >> 3|3
 3116 th Data >> 2|2
 6726 th Data >> 1|1
  458 th Data >> 8|8
 5821 th Data >> 5|5
 9362 th Data >> 9|9
 4698 th Data >> 6|6
 3837 th Data >> 5|5
 4337 th Data >> 1|1
 2904 th Data >> 2|2
 7869 th Data >> 1|1
 2853 th Data >> 3|3
 2341 th Data >> 9|9
 6678 th Data >> 1|1
 8996 th Data >> 6|6
  937 th Data >> 6|6
 2063 th Data >> 7|1
 9820 th Data >> 2|2
 2823 th Data >> 7|7
  125 th Data >> 9|9
  126 th Data >> 0|0
 7984 th Data >> 4|4
 7650 th Data >> 7|7
 8967 th Data >> 6|6
 4562 th Data >> 2|2
 9963 th Data >> 7|7
 3025 th Data >> 4|4
 8372 th Data >> 9|9
 4985 th Data >> 2|2
 9122 th Data >> 6|6
 7031 th Data >> 0|0
 7843 th Data >> 6|6
 1893 th Data >> 8|8
 3261 th Data >> 3|3
  208 th Data >> 2|2
 2986 th Data >> 5|5
 3318 th Data >> 2|2
 9551 th Data >> 4|4
 5620 th Data >> 7|7
 5426 th Data >> 4|4
 9354 th Data >> 8|8
 8088 th Data >> 1|1
 6595 th Data >> 8|8
 2526 th Data >> 5|5
 9104 th Data >> 4|4
 7780 th Data >> 0|0
 4486 th Data >> 8|8
 4505 th Data >> 9|9
 1288 th Data >> 0|0
 9465 th Data >> 5|5
 4616 th Data >> 9|9
 3817 th Data >> 2|2
 1005 th Data >> 9|9
 1396 th Data >> 9|9
 2111 th Data >> 8|8
  515 th Data >> 3|3
  527 th Data >> 8|8
 7259 th Data >> 8|8
 4733 th Data >> 1|1
 9720 th Data >> 6|6
 3842 th Data >> 9|9
 1346 th Data >> 7|7
 9903 th Data >> 1|1
 2358 th Data >> 1|1
 1586 th Data >> 3|3
 9715 th Data >> 1|1
 4371 th Data >> 8|8
 2789 th Data >> 1|1
 8660 th Data >> 3|3
 6390 th Data >> 5|5
 1365 th Data >> 2|2
 3743 th Data >> 7|7
  440 th Data >> 0|0
 9363 th Data >> 3|3
 1513 th Data >> 3|3
 3359 th Data >> 0|0
 7189 th Data >> 7|7
 5139 th Data >> 0|0
 6025 th Data >> 4|4
 8279 th Data >> 8|4
 1235 th Data >> 5|5
 1454 th Data >> 0|0
 3747 th Data >> 1|1
 7751 th Data >> 4|4
 5814 th Data >> 3|3
 9039 th Data >> 1|1
 6115 th Data >> 1|1
 5595 th Data >> 2|2
 4625 th Data >> 2|2
 1298 th Data >> 3|3
 5546 th Data >> 9|9
 6590 th Data >> 0|0
 1870 th Data >> 0|0
